Sender,Subject,Date,Snippet,Message_body
TED Talks Daily <no_reply@ted.com>,A rare galaxy that's challenging our understanding of the universe,2018-09-01,"Watch and share today&#39;s TED Talk. View it in your browser. TED September 1, 2018 Today&#39;s TED Talk A rare galaxy that&#39;s challenging our understanding of the universe 04:39 minutes · TED2018","[<p>http://www.ted.com/


** September 1, 2018
------------------------------------------------------------


** Today’s TED Talk
------------------------------------------------------------


** A rare galaxy that's challenging our understanding of the universe
------------------------------------------------------------
https://www.ted.com/talks/burcin_mutlu_pakdil_a_rare_galaxy_that_s_challenging_our_understanding_of_the_universe?utm_source=newsletter_daily&amp;utm_campaign=daily&amp;utm_medium=email&amp;utm_content=image__2018-08-28

04:39 minutes · TED2018

What's it like to discover a galaxy -- and have it named after you? Astrophysicist and TED Fellow Burçin Mutlu-Pakdil lets us know in this quick talk about her team's surprising discovery of a mysterious new galaxy type.
Watch now » (https://www.ted.com/talks/burcin_mutlu_pakdil_a_rare_galaxy_that_s_challenging_our_understanding_of_the_universe?utm_source=newsletter_daily&amp;utm_campaign=daily&amp;utm_medium=email&amp;utm_content=button__2018-08-28)


** Playlist of the Day
------------------------------------------------------------
https://www.ted.com/playlists/391/the_lights_and_sounds_of_the_u?utm_source=newsletter_daily&amp;utm_campaign=daily&amp;utm_medium=email&amp;utm_content=playlist__2018-08-28playlist_image


** The lights and sounds of the universe
------------------------------------------------------------

Find out what sound a black hole makes, if (possible) alien life is blocking star light and other astounding things happening in our galaxy -- and beyond.
Watch » (https://www.ted.com/playlists/391/the_lights_and_sounds_of_the_u?utm_source=newsletter_daily&amp;utm_campaign=daily&amp;utm_medium=email&amp;utm_content=playlist__2018-08-28playlist_button)

5 talks · Total run time 53:34


** NEW ON IDEAS.TED.COM
------------------------------------------------------------


** 5 steps to starting the life-and-death talk we all need to have
------------------------------------------------------------
https://ideas.ted.com/5-steps-to-starting-the-life-and-death-talk-we-all-need-to-have/

It's only human to avoid discussing death. But when we do, we run the risk of not knowing how our loved ones want to live -- and die. Advocate and journalist Ellen Goodman tells us how to kick off this critical conversation.
Read more » (https://ideas.ted.com/5-steps-to-starting-the-life-and-death-talk-we-all-need-to-have/)



** Download the TED app
------------------------------------------------------------
https://itunes.apple.com/app/apple-store/id376183339 https://play.google.com/store/apps/details?id=com.ted.android&amp;referrer=utm_source%3Dnewsletter_daily%26utm_medium%3Demail%26utm_content%3Dinstall%252Bbutton%26utm_campaign%3Ddaily_install

You are receiving this email because you've subscribed to our mailing list.
You might also like our weekly emails (https://ted.us1.list-manage.com/profile?u=07487d1456302a286cf9c4ccc&amp;id=12ac513728&amp;e=37d793a1a0) , compiling all the week’s TED Talks in one handy mailing.

Copyright © 2018 TED, All rights reserved.
 You're receiving the TED Talks daily email because you subscribed to it on TED.com. (Was this forwarded by a friend? You can sign up here: http://www.ted.com/newsletter )

Our mailing address is:
TED
330 Hudson Street
11th Floor
New York, NY 10013
USA
unsubscribe from this list (https://ted.us1.list-manage.com/unsubscribe?u=07487d1456302a286cf9c4ccc&amp;id=12ac513728&amp;e=37d793a1a0&amp;c=9b830beb41)    update subscription preferences (https://ted.us1.list-manage.com/profile?u=07487d1456302a286cf9c4ccc&amp;id=12ac513728&amp;e=37d793a1a0)    view email in browser (https://mailchi.mp/ted/burcinmutlupakdil?e=37d793a1a0)</p>]"
"""123RF.com"" <edm@123rf.com>",☀️ End your Summer with extra credits!,2018-08-27,"You&#39;ll love it, we promise. Hurry, sale ends 31 August. If you are unable to see the message below, click here to view. 123rf Terms &amp; Conditions: 1. 2. 3. 4. This offer is valid until August 31",
SureJob <pritam@surejob.in>,Online Jobs with Google – Grab it Now,2018-08-27,"Dear Ayush, Online Jobs are the best way to make some extra income from home. What better if you get a chance to work for Google and Google pays you. Start Here Warm Regards, SureJob Team Office 611,","[<p>Dear Ayush,

Online Jobs are the best way to

make some extra income from home.

What better if you get a chance to

work for Google and Google pays you.

Start Here

http://clicks.aweber.com/y/ct/?l=Mkkbc&amp;m=3bzUphwUa.4dO.v&amp;b=lNk0PTe.PXVGmWYXWyGIhg

Warm Regards,

SureJob Team

Office 611, Above Anupam Stationary
Behind Mc Donald
Mumbai Maharashtra 400063
INDIA

To unsubscribe or change subscriber options, visit:
http://www.aweber.com/z/r/?zBwMTAysrLSs7CwsrMwsjLRGtCwM7JxMzIxs

</p>]"
Ayush Agarwal <ayushbansal323@gmail.com>,sign and photo,2018-08-27,,
Lybrate <contact@enlimbo.com>,Health checkup with home visit And freeOnline doctor consultation.,2018-08-27,Upto60% OFF On all Health Test @ Home Aarogyam 1.2 (60Tests) Rs1800 Rs999 /- FREE doctor Consultation worth Rs400 FREEsample pickup from home Book Now To stop receiving these emails please click here,
Notification@jio.com,50% of Daily Data quota exhausted for Jio Number 8668510685,2018-08-27,"Dear Customer, You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8668510685 as of 27-Aug-18 22:31 Hrs. To track your balance and usage, give a missed call to 1299. To","[<div style="""">
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Dear Customer,  </span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8668510685 as of 27-Aug-18 22:31 Hrs.</span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo</span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.</span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Thank you,  </span></font>
</div>
<div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Team Jio</span></font>
</div>
</div>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Dear Customer,  </span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Dear Customer,  </span></font>, <span style=""font-size: 12px;"">Dear Customer,  </span>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>, <span style=""font-size: 12px;""><br/></span>, <br/>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8668510685 as of 27-Aug-18 22:31 Hrs.</span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8668510685 as of 27-Aug-18 22:31 Hrs.</span></font>, <span style=""font-size: 12px;"">You have used 50% of your 1.5 GB daily high speed internet quota on your Jio Number 8668510685 as of 27-Aug-18 22:31 Hrs.</span>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>, <span style=""font-size: 12px;""><br/></span>, <br/>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo</span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo</span></font>, <span style=""font-size: 12px;"">To track your balance and usage, give a missed call to 1299. To know more on how to manage your Jio account, click http://tiny.jio.com/MyJioVideo</span>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>, <span style=""font-size: 12px;""><br/></span>, <br/>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.</span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.</span></font>, <span style=""font-size: 12px;"">Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.</span>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;""><br/></span></font>, <span style=""font-size: 12px;""><br/></span>, <br/>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Thank you,  </span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Thank you,  </span></font>, <span style=""font-size: 12px;"">Thank you,  </span>, <div style="""">
<font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Team Jio</span></font>
</div>, <font face=""tahoma, arial, verdana, sans-serif""><span style=""font-size: 12px;"">Team Jio</span></font>, <span style=""font-size: 12px;"">Team Jio</span>]"
examsupport@pun.unipune.ac.in,Account Created on Student Identity Manager(SIM) Successfully,2018-08-27,"Dear AGARWAL AYUSH VEDPRAKASH , Account created on student identity manager(SIM) successfully. Now you can login with your Email ID/Mobile Number/Aadhaar Number(For Indian Students)/Passport Number(For",
Pluralsight <lindsey@pluralsight.com>,Time is running out to come back to Pluralsight and save $100!,2018-08-27,Save on Pluralsight. Get 33% off! | PLURALSIGHT | Get $100 off Get $100 off WE MISS YOU! Learn new skills for less. Come back to Pluralsight today and get an annual subscription for just $199—,"[<p>Save on Pluralsight. Get 33% off! |
<http:>
<http:>
Get $100 off <http:>
WE MISS YOU!
Learn new skills for less.
Come back to Pluralsight today and get an annual subscription for just $199—that’s 33% off (and then some). Dive into new technologies, grow your knowledge or become the expert you’ve always wanted to be with access to:
•
Courses:  Stay relevant with new expert-led courses added daily
•
Skill assessments: Measure, improve and validate your skill level
•
Paths: Take the guesswork out of learning
•
Channels: Organize your learning experience and improve efficiency
Don’t wait! $100 savings ends August 31st.
Save $100 now <http:>
*This offer is valid for Individual Plans only and may not be used towards the purchase or renewal of any Business Plans. Any discount savings are based on the list price over a 12 month period and will be reflected at Checkout. This offer may only be used once and cannot combined with any other offers, any promotions, or towards any past purchases. Offer expires 11:59 p.m. MST on August 31st, 2018.
<http:>

Pluralsight, LLC 182 N. Union Ave. Farmington, UT 84025 

 



   <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:></http:></http:></http:></http:></http:></p>, <http:>
<http:>
Get $100 off <http:>
WE MISS YOU!
Learn new skills for less.
Come back to Pluralsight today and get an annual subscription for just $199—that’s 33% off (and then some). Dive into new technologies, grow your knowledge or become the expert you’ve always wanted to be with access to:
•
Courses:  Stay relevant with new expert-led courses added daily
•
Skill assessments: Measure, improve and validate your skill level
•
Paths: Take the guesswork out of learning
•
Channels: Organize your learning experience and improve efficiency
Don’t wait! $100 savings ends August 31st.
Save $100 now <http:>
*This offer is valid for Individual Plans only and may not be used towards the purchase or renewal of any Business Plans. Any discount savings are based on the list price over a 12 month period and will be reflected at Checkout. This offer may only be used once and cannot combined with any other offers, any promotions, or towards any past purchases. Offer expires 11:59 p.m. MST on August 31st, 2018.
<http:>

Pluralsight, LLC 182 N. Union Ave. Farmington, UT 84025 

 



   <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:></http:></http:></http:></http:></http:>, <http:>
Get $100 off <http:>
WE MISS YOU!
Learn new skills for less.
Come back to Pluralsight today and get an annual subscription for just $199—that’s 33% off (and then some). Dive into new technologies, grow your knowledge or become the expert you’ve always wanted to be with access to:
•
Courses:  Stay relevant with new expert-led courses added daily
•
Skill assessments: Measure, improve and validate your skill level
•
Paths: Take the guesswork out of learning
•
Channels: Organize your learning experience and improve efficiency
Don’t wait! $100 savings ends August 31st.
Save $100 now <http:>
*This offer is valid for Individual Plans only and may not be used towards the purchase or renewal of any Business Plans. Any discount savings are based on the list price over a 12 month period and will be reflected at Checkout. This offer may only be used once and cannot combined with any other offers, any promotions, or towards any past purchases. Offer expires 11:59 p.m. MST on August 31st, 2018.
<http:>

Pluralsight, LLC 182 N. Union Ave. Farmington, UT 84025 

 



   <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:></http:></http:></http:></http:>, <http:>
WE MISS YOU!
Learn new skills for less.
Come back to Pluralsight today and get an annual subscription for just $199—that’s 33% off (and then some). Dive into new technologies, grow your knowledge or become the expert you’ve always wanted to be with access to:
•
Courses:  Stay relevant with new expert-led courses added daily
•
Skill assessments: Measure, improve and validate your skill level
•
Paths: Take the guesswork out of learning
•
Channels: Organize your learning experience and improve efficiency
Don’t wait! $100 savings ends August 31st.
Save $100 now <http:>
*This offer is valid for Individual Plans only and may not be used towards the purchase or renewal of any Business Plans. Any discount savings are based on the list price over a 12 month period and will be reflected at Checkout. This offer may only be used once and cannot combined with any other offers, any promotions, or towards any past purchases. Offer expires 11:59 p.m. MST on August 31st, 2018.
<http:>

Pluralsight, LLC 182 N. Union Ave. Farmington, UT 84025 

 



   <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:></http:></http:></http:>, <http:>
*This offer is valid for Individual Plans only and may not be used towards the purchase or renewal of any Business Plans. Any discount savings are based on the list price over a 12 month period and will be reflected at Checkout. This offer may only be used once and cannot combined with any other offers, any promotions, or towards any past purchases. Offer expires 11:59 p.m. MST on August 31st, 2018.
<http:>

Pluralsight, LLC 182 N. Union Ave. Farmington, UT 84025 

 



   <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:></http:></http:>, <http:>

Pluralsight, LLC 182 N. Union Ave. Farmington, UT 84025 

 



   <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:></http:>, <http:>
<http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:></http:>, <http:>
<http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:></http:>, <http:>
<http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:></http:>, <http:>
<http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:></http:>, <http:>



 

Copyright© 2018 Pluralsight LLC.
All logos and trademarks are the properties of their respective owners. 

 Unsubscribe  | Manage your preferences <http:>
</http:></http:>, <http:>
</http:>]"
Twitter <info@twitter.com>,"ayush bansal, see 13 new updates from Shashi Tharoor and Twitter India",2018-08-27,Twitter India also Tweeted. Updates you should see avatar Updates for Shashi Tharoor 6 Tweets 1 Retweet 3 likes See all updates avatar Updates for Twitter India 2 Tweets 1 like See all updates Help |,"[<p>Updates you should see

  Opt-out: https://twitter.com/i/u?t=1&amp;cn=ZmxleGlibGVfcmVjc18y&amp;sig=f18b88f00cf501758381a60f7566630162276d25&amp;iid=0940fc3405604084a87fcf17ec7e42b5&amp;uid=746639119&amp;nid=244+26&amp;usbid=9</p>]"
Duolingo <no-reply@duolingo.com>,You’re on a 2 day Spanish streak! Make it 3?,2018-08-27,"Daily Spanish Reminder Hi Ayush Agarwal, you are on a 2 day streak! Use Duolingo today to make it 3. Today&#39;s goal: Learn the skill People 4 Begin challenge Follow Us Like Us If you&#39;d rather not","[<p>Hi Ayush Agarwal, you are on a 2 day streak!

-------------------------------------------

Streak achievements

83 Skill points earned
0 Sentences translated

Don't lose your momentum!

===========================================

Today's goal: Learn the skill People 4

You're only 2 lessons away

Begin challenge
http://www.duolingo.com/#/skill/es/People-4




If you'd rather not receive notifications, you can unsubscribe in
http://www.duolingo.com/unsubscribe?email=1bb19ec91e73edc32d7710612ed07bdb7efabb5eImF5dXNoYmFuc2FsMzIzQGdtYWlsLmNvbSI=&amp;type=notify_practice&amp;language_abbrev=es

(c) 2012 Duolingo
5900 Penn Avenue
Pittsburgh PA 15206
USA</p>]"
